2.359744e-03 2.749715e+04 2.085592e+01
2.440261e-03 2.634583e+04 9.919396e+00
2.523525e-03 3.066824e+04 8.305946e+01
2.609629e-03 2.707286e+04 9.102037e+01
2.698672e-03 2.406331e+04 8.136177e+01
2.790753e-03 2.209081e+04 7.171480e+01
2.885976e-03 1.889171e+04 6.126157e+01
2.984448e-03 1.645650e+04 5.532233e+01
3.086280e-03 1.448609e+04 4.819915e+01
3.191587e-03 1.249853e+04 4.052747e+01
3.300486e-03 1.053549e+04 3.363935e+01
3.413102e-03 8.740711e+03 2.672755e+01
3.529560e-03 7.270299e+03 2.248350e+01
3.649991e-03 5.988477e+03 1.676655e+01
3.774532e-03 4.873568e+03 1.400190e+01
3.903323e-03 3.910687e+03 1.084790e+01
4.036507e-03 3.179455e+03 8.718962e+00
4.174236e-03 2.299792e+03 4.342328e+00
4.316665e-03 1.751263e+03 2.981626e+00
4.463953e-03 1.438414e+03 2.332584e+00
4.616267e-03 1.078207e+03 9.082573e-01
4.773778e-03 8.930714e+02 6.573049e-01
4.936664e-03 8.028931e+02 5.266017e-01
5.105107e-03 7.308958e+02 4.164961e-01
5.279298e-03 7.213101e+02 3.807104e-01
5.459432e-03 7.140089e+02 4.013774e-01
5.645713e-03 6.984566e+02 4.214403e-01
5.838349e-03 6.624389e+02 3.954239e-01
6.037559e-03 6.159692e+02 3.789766e-01
6.243565e-03 5.560941e+02 3.232451e-01
6.456601e-03 4.762708e+02 2.916372e-01
6.676906e-03 3.929815e+02 2.467967e-01
6.904728e-03 3.101470e+02 1.987872e-01
7.140323e-03 2.375696e+02 1.563232e-01
7.383957e-03 1.725683e+02 1.031564e-01
7.635904e-03 1.374982e+02 9.437678e-02
7.896448e-03 1.179575e+02 1.819039e-01
8.165881e-03 1.101906e+02 7.516870e-02
8.444508e-03 1.155016e+02 6.782785e-02
8.732642e-03 1.186953e+02 5.210128e-02
9.030608e-03 1.203054e+02 1.285541e-01
9.338740e-03 1.102020e+02 7.397662e-02
9.657386e-03 9.493971e+01 6.087639e-02
9.986904e-03 7.662556e+01 1.205430e-01
1.032767e-02 6.052030e+01 1.096320e-01
1.068005e-02 4.972089e+01 1.383925e-01
1.104447e-02 4.755164e+01 2.984770e-01
1.142131e-02 4.625869e+01 1.469563e-01
1.181102e-02 4.633261e+01 8.485541e-02
1.221402e-02 4.848821e+01 1.491473e-01
1.263077e-02 4.663920e+01 1.333730e-01
1.306175e-02 4.577357e+01 3.300622e-01
1.350743e-02 3.785499e+01 2.186185e-01
1.396831e-02 3.424895e+01 2.553117e-01
1.444492e-02 3.551797e+01 2.763007e-01
1.493779e-02 3.547474e+01 2.210890e-01
1.544749e-02 3.842891e+01 3.377193e-01
1.597457e-02 3.246738e+01 2.143492e-01
1.651963e-02 3.408043e+01 3.600245e-01
1.708330e-02 3.114549e+01 3.210343e-01
1.766619e-02 3.157761e+01 2.564835e-01
1.826898e-02 2.990593e+01 1.787897e-01
1.889233e-02 3.262085e+01 2.960331e-01
1.953696e-02 2.986445e+01 2.480956e-01
2.020357e-02 3.118803e+01 2.701166e-01
2.089294e-02 3.030414e+01 2.935098e-01
2.160582e-02 2.786138e+01 1.975101e-01
2.234303e-02 2.850545e+01 2.066833e-01
2.310540e-02 3.352507e+01 3.821427e-01
2.389377e-02 3.065987e+01 2.862769e-01
2.470905e-02 3.197186e+01 4.223611e-01
2.555214e-02 3.337435e+01 4.712813e-01
2.642400e-02 2.957673e+01 3.295605e-01
2.732561e-02 2.750070e+01 3.144056e-01
2.825799e-02 2.520523e+01 3.005089e-01
2.922217e-02 2.448531e+01 2.911896e-01
3.021926e-02 2.349630e+01 3.042203e-01
3.125037e-02 2.263226e+01 2.999546e-01
3.231666e-02 2.015285e+01 2.392616e-01
3.341933e-02 2.146287e+01 3.805705e-01
3.455962e-02 2.112532e+01 6.273236e-01
3.573883e-02 1.943257e+01 3.205070e-01
3.695827e-02 1.842619e+01 5.469906e-01
3.821932e-02 1.669526e+01 3.404038e-01
3.952339e-02 1.601814e+01 1.431513e-01
4.087197e-02 1.495830e+01 1.255477e-01
4.226655e-02 1.696964e+01 2.084463e-01
4.370872e-02 1.831330e+01 1.606223e-01
4.520010e-02 1.932826e+01 1.834844e-01
4.674237e-02 2.144588e+01 2.192476e-01
4.833726e-02 2.182369e+01 2.082725e-01
4.998657e-02 2.279542e+01 1.824090e-01
5.169215e-02 2.466326e+01 2.080366e-01
5.345594e-02 2.927319e+01 3.314322e-01
5.527990e-02 2.809279e+01 1.947549e-01
5.716610e-02 3.668698e+01 2.565766e-01
5.911665e-02 4.820857e+01 4.458111e-01
6.113376e-02 5.470582e+01 2.503383e-01
6.321970e-02 1.028859e+02 2.991648e-01
6.537681e-02 2.716103e+02 3.398502e-01
6.760753e-02 7.328876e+02 6.636179e-01
